id,text,category,severity,impact
115,The security staff are not present at a required checkpoint.,safety-security,HIGH,MULTIPLE
116,Garbage bins are overflowing near the canteen.,cleanliness-sanitation,MEDIUM,MULTIPLE
117,The hostel bathroom is not cleaned regularly.,cleanliness-sanitation,MEDIUM,MULTIPLE
118,There is a bad smell from the campus drainage.,cleanliness-sanitation,MEDIUM,MULTIPLE
119,Waste has been left near the classroom building for several days.,cleanliness-sanitation,MEDIUM,MULTIPLE
120,The washroom floor is dirty and wet.,cleanliness-sanitation,MEDIUM,MULTIPLE
121,The campus garbage collection has been missed.,cleanliness-sanitation,MEDIUM,MULTIPLE
122,There are mosquitoes around stagnant water near the hostel.,cleanliness-sanitation,HIGH,MULTIPLE
123,The handwashing area is unhygienic.,cleanliness-sanitation,MEDIUM,MULTIPLE
124,The public washroom has no soap.,cleanliness-sanitation,LOW,MULTIPLE
125,The sanitary waste bins are full.,cleanliness-sanitation,HIGH,MULTIPLE
126,The drinking water area is dirty.,cleanliness-sanitation,MEDIUM,MULTIPLE
127,The campus cleaning staff have not cleaned the corridor.,cleanliness-sanitation,LOW,MULTIPLE
128,There is litter around the sports ground.,cleanliness-sanitation,LOW,MULTIPLE
129,The hostel waste disposal area is overflowing.,cleanliness-sanitation,HIGH,MULTIPLE
130,The bathroom drainage is blocked and wastewater is collecting.,cleanliness-sanitation,HIGH,MULTIPLE
131,The classroom dustbins have not been emptied.,cleanliness-sanitation,LOW,MULTIPLE
132,There is sewage leakage near the hostel.,cleanliness-sanitation,CRITICAL,MULTIPLE
133,The campus restroom has a persistent foul smell.,cleanliness-sanitation,MEDIUM,MULTIPLE
134,The garbage collection point is attracting stray animals.,cleanliness-sanitation,HIGH,MULTIPLE
135,The sanitation complaint has remained unresolved for a week.,cleanliness-sanitation,MEDIUM,MULTIPLE
136,A water pipe is leaking near the administration building.,infrastructure-maintenance,MEDIUM,MULTIPLE
137,The main campus water supply is interrupted.,infrastructure-maintenance,HIGH,CAMPUS
138,A ceiling tile has fallen in the classroom.,infrastructure-maintenance,HIGH,MULTIPLE
139,The corridor floor tiles are broken.,infrastructure-maintenance,MEDIUM,MULTIPLE
140,The campus road has large potholes.,infrastructure-maintenance,HIGH,MULTIPLE
141,The electrical power is unstable in the academic block.,infrastructure-maintenance,HIGH,MULTIPLE
142,The classroom door is damaged.,infrastructure-maintenance,LOW,DEPARTMENT
143,The campus drainage cover is broken.,infrastructure-maintenance,HIGH,MULTIPLE
144,The water tap in the laboratory is damaged.,infrastructure-maintenance,MEDIUM,DEPARTMENT
145,The building roof has water leakage during rain.,infrastructure-maintenance,HIGH,MULTIPLE
146,The campus pathway has broken pavement.,infrastructure-maintenance,MEDIUM,MULTIPLE
147,The classroom window is broken.,infrastructure-maintenance,MEDIUM,DEPARTMENT
148,The main water tank requires maintenance.,infrastructure-maintenance,HIGH,MULTIPLE
149,The campus streetlight is not working.,infrastructure-maintenance,HIGH,MULTIPLE
150,A wall has visible cracks near the staircase.,infrastructure-maintenance,HIGH,MULTIPLE
151,The air conditioning unit in the seminar hall is leaking.,infrastructure-maintenance,MEDIUM,MULTIPLE
152,The campus elevator is making unusual noises.,infrastructure-maintenance,HIGH,MULTIPLE
153,The hostel plumbing system has repeated leaks.,infrastructure-maintenance,HIGH,MULTIPLE
154,A drain cover is missing near the walkway.,infrastructure-maintenance,HIGH,MULTIPLE
155,The maintenance request for a broken door has been pending for a week.,infrastructure-maintenance,LOW,INDIVIDUAL
156,The examination timetable contains two exams at the same time.,academic,HIGH,MULTIPLE
157,The online assignment submission portal is not working.,academic,HIGH,MULTIPLE
158,The lecturer's course material is not available online.,academic,MEDIUM,MULTIPLE
159,The internal marks displayed are incorrect.,academic,MEDIUM,INDIVIDUAL
160,The examination hall allocation is incorrect.,academic,HIGH,MULTIPLE
161,The course registration page is unavailable.,academic,HIGH,MULTIPLE
162,The attendance record is showing incorrect information.,academic,MEDIUM,INDIVIDUAL
163,The semester timetable has an overlapping class.,academic,MEDIUM,MULTIPLE
164,The online learning portal is unavailable.,academic,HIGH,MULTIPLE
165,The assignment deadline was changed without notification.,academic,MEDIUM,MULTIPLE
166,The laboratory schedule conflicts with another class.,academic,MEDIUM,MULTIPLE
167,The examination results have not been published on time.,academic,HIGH,MULTIPLE
168,The academic office has not responded to a course issue.,academic,MEDIUM,INDIVIDUAL
169,The course registration shows the wrong subject.,academic,MEDIUM,INDIVIDUAL
170,The classroom allocation for our class is missing.,academic,MEDIUM,MULTIPLE
171,The examination question paper was not available at the scheduled time.,academic,CRITICAL,MULTIPLE
172,The college academic portal is showing an error during registration.,academic,MEDIUM,MULTIPLE
173,A student cannot access required course materials.,academic,MEDIUM,INDIVIDUAL
174,The project evaluation schedule has not been announced.,academic,LOW,MULTIPLE
175,The academic timetable was changed without informing students.,academic,MEDIUM,MULTIPLE
176,There is a report of prohibited substance use near the hostel.,substance-concern,HIGH,MULTIPLE
177,A student reported suspected substance use in a restricted area.,substance-concern,HIGH,MULTIPLE
178,There is a strong suspected drug-related activity near the parking area.,substance-concern,HIGH,MULTIPLE
179,A prohibited substance was reportedly found in a common area.,substance-concern,HIGH,MULTIPLE
180,Students reported suspected alcohol use in a campus facility.,substance-concern,HIGH,MULTIPLE
181,There is a concern about substance-related activity near the hostel entrance.,substance-concern,HIGH,MULTIPLE
182,A student wants to report suspected substance use confidentially.,substance-concern,MEDIUM,INDIVIDUAL
183,There is suspected smoking in a restricted campus area.,substance-concern,MEDIUM,MULTIPLE
184,A prohibited substance is reportedly being distributed near the campus.,substance-concern,CRITICAL,MULTIPLE
185,Security received a report about suspected substance activity.,substance-concern,HIGH,MULTIPLE
186,I lost my college ID card and need help reporting it.,other,LOW,INDIVIDUAL
187,The campus notice board needs an update.,other,LOW,MULTIPLE
188,I cannot find the correct office for my request.,other,LOW,INDIVIDUAL
189,The student portal is showing an unexpected error.,other,MEDIUM,MULTIPLE
190,I need help with an issue that does not fit the listed categories.,other,LOW,INDIVIDUAL
191,The college website is displaying outdated information.,other,LOW,MULTIPLE
192,The campus phone directory contains incorrect numbers.,other,LOW,MULTIPLE
193,A general administrative request has not received a response.,other,MEDIUM,INDIVIDUAL
194,The campus lost and found service is not responding.,other,LOW,INDIVIDUAL
195,The information displayed on a campus sign is incorrect.,other,LOW,MULTIPLE
